sep=,
Palestrantes,Adriana Salles Gomes,Adriana Salles/Adriana/Salles
Palestrantes,Adriano Correia,Adriano/Correia
Palestrantes,Alessandra Canuto,Alessandra/Canuto
Palestrantes,Alexandre Kalache,Alexandre/Kalache
Palestrantes,Alexandre Nascimento,Alexandre/Nascimento
Palestrantes,Alexandre Pellaes,Alexandre/Pellaes
Palestrantes,André Heller,André/Heller
Palestrantes,Ariana Huffington,Ariana/Huffington
Palestrantes,Augusto Jr,Augusto/Jr/Junior/Augusto Junior
Palestrantes,Bia Granja,Bia/Granja
Palestrantes,Camila Olivo,Camila/Olivo
Palestrantes,Carla Souza,Carla/Souza
Palestrantes,Carla Tieppo,Carla/Tieppo
Palestrantes,Carolina Bigona,Carolina/Bigona
Palestrantes,Carolina Utimura,Carolina/Utimura
Palestrantes,Cavallini,Cavallini
CONTINUAR--------------------------------------------------
Palestrantes,Charlene Li
Palestrantes,Claudia Cunha
Palestrantes,Daniela Lamke
Palestrantes,David Feffer
Palestrantes,Douglas Tokuno 
Palestrantes,Eduardo Ibraim
Palestrantes,Eduardo Peixoto
Palestrantes,Eduardo Seidenthal
Palestrantes,Eric Ries
Palestrantes,Fabio Freire
Palestrantes,Fabio Maia 
Palestrantes,Fabíola Nader
Palestrantes,Fareed Zakaria
Palestrantes,Felipe Furtado
Palestrantes,Francisco Carvalho
Palestrantes,Fred Rocha
Palestrantes,Gabriel Coelho
Palestrantes,Gabriel Dearo
Palestrantes,Giordano Cabral
Palestrantes,Guilherme Felitti 
Palestrantes,Guilherme Horn
Palestrantes,Guilherme Salerno
Palestrantes,Hugh Herr
Palestrantes,Iaci Rios
Palestrantes,Iana Chan
Palestrantes,Ivan Patriota                                                                                              
Palestrantes,Jan Diniz
Palestrantes,Jill Ader
Palestrantes,João Torres
Palestrantes,Jon Medved
Palestrantes,José Salibi 
Palestrantes,Karla Godoy
Palestrantes,Laureane Cavalcanti 
Palestrantes,Layla Vallias
Palestrantes,Leandro Caldeira 
Palestrantes,Leandro Herrera
Palestrantes,Leandro Mattos
Palestrantes,Luciana Caletti
Palestrantes,Luis Augusto Lobão
Palestrantes,Maco Aurélio Almada
Palestrantes,Maitê Schneider?  
Palestrantes,Maracio Iavelberg
Palestrantes,Márcio Lopes de Freitas
Palestrantes,Marco Bego
Palestrantes,Mariana Dias
Palestrantes,Marina Miranda
Palestrantes,Maurício Coelho
Palestrantes,Milton Jung 
Palestrantes,Paul Zak
Palestrantes,Paulo Kakinoff
Palestrantes,Paulo Urbano
Palestrantes,Pedro Mello
Palestrantes,Pedro Nascimento
Palestrantes,Rafael Palermo  
Palestrantes,Rafael Silva
Palestrantes,Raissa Garifalakis 
Palestrantes,Renato Martinelli
Palestrantes,Renato Nobile 
Palestrantes,René de Paula
Palestrantes,Ricardo Justus
Palestrantes,Ricardo Yogui
Palestrantes,Roberto Madruga
Palestrantes,Roberto Nonato
Palestrantes,Rodrigo Ferreira
Palestrantes,Rodrigo Galvão
Palestrantes,Rodrigo Giaffredo
Palestrantes,Rogério Tamassia
Palestrantes,Romeo Busarello
Palestrantes,Ryoichi Penna
Palestrantes,Samuel Emílio
Palestrantes,Sandro Magaldi
Palestrantes,Sean Ellis
Palestrantes,Silvio Veloso
Palestrantes,Sofia Esteves
Palestrantes,Steven Kotler
Palestrantes,Thais Mara
Palestrantes,Thiago Barbosa
Palestrantes,Thiago Ribeiro
Palestrantes,Thomas Brieu
Palestrantes,William
